,team_abbr,score,h/a,opp,game_won,game_lost,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,free_throws,personal_fouls,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_percentage,two_point_field_goals,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_field_goals,opp_personal_fouls,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,opp_two_point_field_goals,date
189,MIA,118,h,OKC,1,0,73.9,34,0.0,0,91.7,87.8,43,0.667,0.568,46,0.222,0.556,10,20,7.1,7,0.42,0.47100000000000003,16,55.3,47,0.664,13.6,14,0.638,30,32,0.449,0.36700000000000005,29,15,0.271,13,38,0.495,0.516,16,2021-01-04 19:30:00
190,DET,115,a,MIL,0,1,62.8,27,9.8,5,121.7,78.1,25,0.526,0.439,43,0.122,1.0,12,17,8.8,9,0.408,0.425,17,38.8,31,0.557,7.2,8,0.44799999999999995,26,42,0.659,0.5760000000000001,49,18,0.41200000000000003,14,49,0.679,0.6859999999999999,35,2021-01-04 20:00:00
191,MIL,125,h,DET,1,0,65.3,32,6.9,4,112.0,87.5,42,0.659,0.5760000000000001,49,0.188,0.813,13,18,5.8,6,0.4,0.41200000000000003,14,61.3,49,0.679,17.1,19,0.6859999999999999,35,25,0.526,0.439,43,17,0.425,17,31,0.557,0.44799999999999995,26,2021-01-04 20:00:00
192,IND,118,a,NOP,1,0,71.1,32,10.8,8,107.0,69.8,37,0.586,0.484,45,0.14,0.6920000000000001,9,27,9.2,10,0.484,0.42200000000000004,19,42.4,42,0.598,12.4,14,0.542,26,2,0.48,0.625,5,1,0.33299999999999996,1,2,0.52,0.8,4,2021-01-04 20:00:00
193,NOP,116,h,IND,0,1,59.1,3,8.3,0,108.9,89.1,2,0.48,0.625,5,0.23800000000000002,1.0,1,1,4.6,1,0.267,0.33299999999999996,1,57.6,2,0.52,13.9,1,0.8,4,37,0.586,0.484,45,27,0.42200000000000004,19,42,0.598,0.542,26,2021-01-04 20:00:00
194,CLE,83,a,ORL,0,1,60.6,20,7.4,4,112.6,59.1,26,0.447,0.38799999999999996,33,0.141,0.583,7,14,13.1,12,0.32899999999999996,0.35700000000000004,10,39.3,35,0.46,13.4,14,0.40399999999999997,23,36,0.517,0.43200000000000005,38,15,0.441,15,54,0.55,0.426,23,2021-01-04 19:00:00
195,ORL,103,h,CLE,1,0,57.9,22,12.3,7,90.7,80.0,36,0.517,0.43200000000000005,38,0.14800000000000002,0.9229999999999999,12,15,9.8,9,0.386,0.441,15,60.7,54,0.55,16.9,19,0.426,23,26,0.447,0.38799999999999996,33,14,0.35700000000000004,10,35,0.46,0.40399999999999997,23,2021-01-04 19:00:00
196,CHO,101,a,PHI,0,1,83.3,30,6.3,4,116.6,73.6,39,0.494,0.419,36,0.256,0.727,16,24,4.0,4,0.45299999999999996,0.33299999999999996,13,46.1,47,0.528,14.3,16,0.489,23,41,0.542,0.484,46,21,0.344,11,55,0.561,0.556,35,2021-01-04 19:00:00
197,PHI,118,h,CHO,1,0,73.9,34,10.6,5,99.8,83.7,41,0.542,0.484,46,0.242,0.652,15,21,6.9,7,0.337,0.344,11,53.9,55,0.561,8.7,10,0.556,35,39,0.494,0.419,36,24,0.33299999999999996,13,47,0.528,0.489,23,2021-01-04 19:00:00
198,BOS,126,a,TOR,1,0,46.3,19,17.0,9,108.9,84.6,44,0.5770000000000001,0.488,41,0.405,0.853,29,29,2.9,3,0.345,0.517,15,60.2,56,0.637,16.1,19,0.473,26,29,0.47200000000000003,0.4,36,26,0.35100000000000003,13,37,0.534,0.434,23,2021-01-04 19:30:00
199,TOR,114,h,BOS,0,1,55.6,20,7.3,4,120.3,70.7,29,0.47200000000000003,0.4,36,0.42200000000000004,0.763,29,26,12.4,13,0.41100000000000003,0.35100000000000003,13,39.8,37,0.534,8.6,10,0.434,23,44,0.5770000000000001,0.488,41,29,0.517,15,56,0.637,0.473,26,2021-01-04 19:30:00
200,UTA,96,a,BRK,0,1,51.5,17,5.3,3,127.1,80.0,32,0.44799999999999995,0.384,33,0.314,0.7040000000000001,19,18,5.9,6,0.395,0.324,11,44.6,41,0.49,13.3,15,0.423,22,43,0.634,0.5589999999999999,52,22,0.389,14,51,0.65,0.667,38,2021-01-05 19:30:00
201,BRK,130,h,UTA,1,0,59.6,31,9.6,5,93.8,82.7,43,0.634,0.5589999999999999,52,0.172,0.75,12,22,10.8,11,0.387,0.389,14,55.4,51,0.65,10.7,12,0.667,38,32,0.44799999999999995,0.384,33,18,0.324,11,41,0.49,0.423,22,2021-01-05 19:30:00
202,MIN,116,a,DEN,0,1,57.1,24,7.4,4,120.2,76.2,32,0.522,0.462,42,0.297,0.778,21,31,7.8,8,0.374,0.324,11,50.0,42,0.564,12.0,14,0.544,31,32,0.57,0.519,41,27,0.32,8,42,0.622,0.611,33,2021-01-05 21:00:00
203,DEN,123,h,MIN,1,0,53.7,22,3.5,2,113.4,76.2,32,0.57,0.519,41,0.57,0.733,33,27,8.8,9,0.316,0.32,8,50.0,42,0.622,12.4,14,0.611,33,32,0.522,0.462,42,31,0.324,11,42,0.564,0.544,31,2021-01-05 21:00:00
204,SAS,116,a,LAC,1,0,52.3,23,5.9,3,116.5,82.5,33,0.563,0.45799999999999996,44,0.115,0.727,8,13,9.3,9,0.41700000000000004,0.5,20,49.4,44,0.575,9.0,10,0.429,24,38,0.5870000000000001,0.5,43,16,0.429,15,45,0.616,0.5489999999999999,28,2021-01-05 22:00:00
